   0.0000000E+00   0.9991278E+00
   0.2698126E-02   0.9970221E+00
   0.5396252E-02   0.9844200E+00
   0.8094378E-02   0.9640816E+00
   0.1079250E-01   0.9375535E+00
   0.1349063E-01   0.9057208E+00
   0.1618876E-01   0.8699921E+00
   0.1888688E-01   0.8324257E+00
   0.2158501E-01   0.7935606E+00
   0.2428313E-01   0.7553797E+00
   0.2698126E-01   0.7180881E+00
   0.2967939E-01   0.6828312E+00
   0.3237751E-01   0.6494530E+00
   0.3507564E-01   0.6179116E+00
   0.3777376E-01   0.5871482E+00
   0.4047189E-01   0.5567456E+00
   0.4317001E-01   0.5270335E+00
   0.4586814E-01   0.4981564E+00
   0.4856627E-01   0.4697803E+00
   0.5126439E-01   0.4423895E+00
   0.5396252E-01   0.4165104E+00
   0.5666064E-01   0.3925080E+00
   0.5935877E-01   0.3707975E+00
   0.6205690E-01   0.3508006E+00
   0.6475502E-01   0.3318167E+00
   0.6745315E-01   0.3131351E+00
   0.7015127E-01   0.2944879E+00
   0.7284940E-01   0.2758128E+00
   0.7554753E-01   0.2578146E+00
   0.7824565E-01   0.2407714E+00
   0.8094378E-01   0.2251283E+00
   0.8364190E-01   0.2106138E+00
   0.8634003E-01   0.1969634E+00
   0.8903816E-01   0.1838791E+00
   0.9173628E-01   0.1713963E+00
   0.9443441E-01   0.1591780E+00
   0.9713253E-01   0.1468846E+00
   0.9983066E-01   0.1346506E+00
   0.1025288E+00   0.1226611E+00
   0.1052269E+00   0.1112263E+00
   0.1079250E+00   0.1007430E+00
   0.1106232E+00   0.9113563E-01
   0.1133213E+00   0.8274211E-01
   0.1160194E+00   0.7527386E-01
   0.1187175E+00   0.6879199E-01
   0.1214157E+00   0.6336088E-01
   0.1241138E+00   0.5875206E-01
   0.1268119E+00   0.5474629E-01
   0.1295100E+00   0.5133578E-01
   0.1322082E+00   0.4844481E-01
   0.1349063E+00   0.4581891E-01
   0.1376044E+00   0.4337100E-01
   0.1403025E+00   0.4098588E-01
   0.1430007E+00   0.3835114E-01
   0.1456988E+00   0.3548337E-01
   0.1483969E+00   0.3243013E-01
   0.1510951E+00   0.2924573E-01
   0.1537932E+00   0.2617733E-01
   0.1564913E+00   0.2342700E-01
   0.1591894E+00   0.2106834E-01
   0.1618876E+00   0.1899578E-01
   0.1645857E+00   0.1719412E-01
   0.1672838E+00   0.1549560E-01
   0.1699819E+00   0.1371373E-01
   0.1726801E+00   0.1182710E-01
   0.1753782E+00   0.9962509E-02
   0.1780763E+00   0.8256130E-02
   0.1807744E+00   0.6821973E-02
   0.1834726E+00   0.5743214E-02
   0.1861707E+00   0.5007403E-02
   0.1888688E+00   0.4505025E-02
   0.1915669E+00   0.4088519E-02
   0.1942651E+00   0.3694525E-02
   0.1969632E+00   0.3256281E-02
   0.1996613E+00   0.2874105E-02
   0.2023594E+00   0.2577105E-02
   0.2050576E+00   0.2440212E-02
   0.2077557E+00   0.2449001E-02
   0.2104538E+00   0.2563988E-02
   0.2131519E+00   0.2687937E-02
   0.2158501E+00   0.2686242E-02
   0.2185482E+00   0.2533882E-02
   0.2212463E+00   0.2272104E-02
   0.2239445E+00   0.1996514E-02
   0.2266426E+00   0.1766691E-02
   0.2293407E+00   0.1602973E-02
   0.2320388E+00   0.1495426E-02
   0.2347370E+00   0.1415677E-02
   0.2374351E+00   0.1318078E-02
   0.2401332E+00   0.1193013E-02
   0.2428313E+00   0.1055508E-02
   0.2455295E+00   0.9001434E-03
   0.2482276E+00   0.7548611E-03
   0.2509257E+00   0.6311201E-03
   0.2536238E+00   0.5192695E-03
   0.2563220E+00   0.4576148E-03
   0.2590201E+00   0.4085824E-03
   0.2617182E+00   0.3600237E-03
   0.2644163E+00   0.3118344E-03
   0.2671145E+00   0.2682961E-03
   0.2698126E+00   0.2243479E-03
   0.2725107E+00   0.1786517E-03
   0.2752088E+00   0.1276219E-03
   0.2779070E+00   0.8354101E-04
   0.2806051E+00   0.5151286E-04
   0.2833032E+00   0.2753055E-04
   0.2860013E+00   0.1102333E-04
